,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
0,1,1.729106628242076,1.729106628242076,1.729106628242076,0,0.0,0.0,0.0,0.61,0,0.030115273775216195,0.030115273775216195,0.0,0.00786819353860156,0.00786819353860156,0.0,0.0,0.0,0.0,0.0
1,2,3.430405807039951,3.4301612422798837,3.454985210107742,0,1.4155631220186011,1.429703196533364,0.0,0.625,0,0.05974684068137291,0.05974260856214247,0.0,0.015610009140672699,0.015608903407915898,0.0,9.203783125863761e-07,9.188360613970409e-07,0.0,0.0
2,3,5.1049500027920445,5.103520031197772,5.177445267471881,6,4.186767842592149,4.269798768162156,0.0,0.6466666666666666,0,0.08894892573321915,0.08892533538000517,0.0,0.02323960057376931,0.023233436644296248,0.0,4.568155005739133e-06,4.563576824700119e-06,0.0,0.0
3,5,6.753959311954463,6.749806357468676,6.896282171851946,1,8.22846511808182,8.469384097838631,0.0,0.6175,0,0.11762401515540823,0.11755083106420618,0.0,0.030731535353318504,0.03071241492661959,0.0,1.412023447424461e-05,1.4080258707330724e-05,0.0,0.0
4,5,8.378222087268504,8.369260083706767,8.611275922487446,15,13.50087217160704,14.021388588695451,0.0,0.6699999999999998,0,0.14589697471115304,0.14573734045999695,0.0,0.03811839507750812,0.03807668890361209,0.0,3.373419770364366e-05,3.357995234944528e-05,0.0,0.0
5,6,9.978504131042477,9.962127558746614,10.322189810156338,19,19.962629269435332,20.91767767321368,0.0,0.62,0,0.1737940303103511,0.17350933792909265,0.0,0.04540702690051555,0.0453326453480262,0.0,6.847836924078605e-05,6.801637615959966e-05,0.0,0.0
6,7,11.555817690728626,11.529048317300244,12.028768956244432,61,27.53835600682455,29.103453496837233,0.0,0.5614285714285714,0,0.20126762778638302,0.20080279588935268,0.0,0.05258503100575749,0.05246358421774338,0.0,0.00012400372176643264,0.0001228541964702415,0.0,0.0
7,9,13.110836991549123,13.07030653311196,13.730738715866408,86,36.18878382678483,38.56487071128403,0.0,0.535,0,0.22835424007938418,0.22765144812014101,0.0,0.05966192730764203,0.05947830823738184,0.0,0.0002066458162863416,0.0002040941014422253,0.0,0.0
8,10,14.644254145495209,14.586268040004764,15.427802933158677,71,45.86862980715696,49.277945602364234,0.0,0.5633333333333334,0,0.25506630367392663,0.2540625247827968,0.0,0.06664096493219304,0.06637870610111382,0.0,0.00032310946501262045,0.0003179966550514491,0.0,0.0
9,12,16.15670957235443,16.07728823963341,17.119642036260093,89,56.5351225226027,61.219328277422015,0.0,0.575,0,0.2814153640412639,0.2800432186440189,0.0,0.07352516020758688,0.07316665667853545,0.0,0.00048036275266834585,0.0004709876665898135,0.0,36.0
10,14,17.64879573681763,17.544118206655984,18.80591095901432,62,68.14776359451609,74.31750007923354,0.0,0.5636363636363636,0,0.3074121304199966,0.3055565188094846,0.0,0.08031731098054426,0.07983250908455689,0.0,0.000685503692028804,0.0006690089839110491,0.0,0.0
11,12,19.121060481309673,18.98654241321827,20.486236876129833,91,80.6681077322944,88.61611759205364,0.0,0.6241666666666668,0,0.3330665247872917,0.3306764405986097,0.0,0.08702000941443179,0.08639557186620635,0.0,0.0009456027326466378,0.0009187280813274327,0.0,36.0
12,13,20.574479494675934,20.405147358481486,22.160216738500996,263,93.99968511948782,104.06217103720466,0.0,0.4946153846153847,0,0.35833476266021,0.3553804460189785,0.0,0.09362183893043975,0.09284996891221411,0.0,0.001266849274308632,0.0012256604754321073,0.0,648.0
13,14,22.00878112614677,21.800281185400287,23.827414595729827,99,108.20105189936429,120.63048584898496,0.0,0.5914285714285714,0,0.38331377305098663,0.37967426744508775,0.0,0.10014808569321144,0.09919719804056418,0.0,0.0016568328683027839,0.0015951919009032573,0.0,0.0
14,16,23.424720618519675,23.172287008113603,25.487358693724953,197,123.19750775986813,138.29580155200668,0.0,0.546,0,0.40797249407550223,0.40356348936276043,0.0,0.10659065089105493,0.10543871845326296,0.0,0.0021212717448506994,0.0020320524344168674,0.0,36.0
15,18,24.82270153854882,24.521503184519684,27.13953833675677,183,138.9557303834868,157.03272477941996,0.0,0.5475,0,0.4323178884730386,0.42705354973485277,0.0,0.11295135369825286,0.11157595109443541,0.0,0.002665661823219666,0.00254031086918788,0.0,36.0
16,17,26.203094449832637,25.848263580487217,28.78340050572196,267,155.44355750265746,176.81568125454214,0.0,0.5147058823529411,0,0.4563563467696433,0.45014974206965774,0.0,0.11923186378641457,0.11761027919169136,0.0,0.0032947615415293914,0.0031231863740438567,0.0,36.0
17,20,27.566238347016736,27.152080733777233,30.418346227868483,176,172.62986528078724,197.72068210897334,0.0,0.5666666666666668,0,0.4800937139895471,0.47290585488844905,0.0,0.1254337083026913,0.12355573250405527,0.0,0.004012591067927434,0.003784682478181965,0.0,0.0
18,21,28.912441889278586,28.43457159725999,32.04372669816156,359,190.48445522834533,219.56155067024864,0.0,0.5068421052631579,0,0.5035353128749028,0.495245556125685,0.0,0.13155827793572322,0.12939240728511414,0.0,0.004822090135321442,0.0045240275682648075,0.0,828.0
