R,is_sat,total delay,one to one prob,comp prob,on bottleneck prob,comp rate
2.0,0.0,170.75806451612902,1.0,0.0,0.0,0.0
3.0,0.0,534.855421686747,0.9808982531862955,0.0,0.019101746813704485,0.0
4.0,0.0,1099.030241935484,0.9618169277226079,0.00012081578182015022,0.03806225649557207,1.4717741935483872e-05
5.0,0.0,1904.0120967741937,0.9387970684844578,0.0005711645676120533,0.060631766947930196,0.00011108870967741936
6.0,0.0,2941.2195121951218,0.9180425067362951,0.0012565568632219764,0.080700936400483,0.0003845528455284553
7.0,0.0,4306.030800821355,0.8938805057862209,0.0024288527661306967,0.10369064144764839,0.0010593429158110884
8.0,0.0,5952.890985324948,0.8695939824351565,0.004280666010893111,0.1261253515539504,0.0025270440251572326
9.0,0.0,7983.061310782241,0.8435428342773467,0.007262935892962347,0.149194229829691,0.00552938689217759
10.0,0.0,10536.208816705337,0.8153840984224173,0.012112975346717895,0.1725029262308647,0.011678422273781902
11.0,0.0,13494.7192513369,0.7873312242400783,0.018210763664604335,0.19445801209531735,0.022235561497326205
12.0,0.0,17224.65930599369,0.7567313026575327,0.028719341456101888,0.21454935588636537,0.042582649842271295
13.0,0.0,21883.39393939394,0.7226460193486438,0.04438093206778736,0.23297304858356888,0.07790984848484848
14.0,0.0,16018.36220472441,0.8110571869239883,0.015906436554233072,0.17303637652177858,0.02237795275590551
15.0,0.0,17712.76767676768,0.8095889402077697,0.01703508275202254,0.17337597704020768,0.025887878787878786
16.0,0.0,18400.5223880597,0.8168312756347825,0.01351482817488242,0.16965389619033505,0.0211910447761194
17.0,0.0,21307.821428571428,0.8037030035093314,0.017119726511856375,0.17917726997881214,0.03033214285714286
18.0,0.0,23492.352941176472,0.7978725409067919,0.017243839860166303,0.1848836192330418,0.03343235294117647
19.0,0.0,25352.695652173912,0.7973278136718164,0.015743283739190286,0.1869289025889934,0.031843478260869564
20.0,0.0,28515.785714285714,0.7845613366967985,0.018253795268574683,0.19718486803462681,0.038778571428571426
21.0,0.0,34091.57142857143,0.7660962956530517,0.030937042777555084,0.2029666615693931,0.07097142857142857
22.0,0.0,35882.5,0.7609119732075833,0.025193187475235003,0.21389483931718165,0.063625
